,Name,dist_obj
61,88268,"['88611', '123509', '129772', '134860', '148112', '148780', '181708', '385363', '420356', '444018', '468422', '469610', '471288', '486958', '1996 TK66', '1997 CT29', '1998 KS65', '1999 CH154', '1999 CJ119', '1999 CN119', '1999 HH12', '1999 HS11', '2000 CF105', '2000 GX146', '2000 OH67', '2000 PW29', '2000 QC226', '2000 QL251', '2000 YF2', '2001 FK185', '2001 OG109', '2001 QS322', '2001 QW322', '2001 XR254', '2002 CZ224', '2002 FW36', '2002 FX36', '2002 PC171', '2002 PD155', '2002 PO149', '2002 PY170', '2002 VB131', '2002 VD131', '2003 HG57', '2003 HZ56', '2003 KO20', '2003 QL91', '2003 QX90', '2003 WU188', '2003 YN179', '2003 YS179', '2003 YT179', '2003 YX179', '2004 EP95', '2004 HG79', '2004 KE19', '2004 KG19', '2004 LW31', '2004 PU117', '2004 UD10', '2005 EM303', '2005 GD187', '2005 GX186', '2005 LA54', '2006 UO321', '2007 CS79', '2007 LE38', '2010 KZ39', '2010 TF192', '2011 HZ102', '2012 CS57', '2012 UE178', '2012 UT177', '2012 XR157', '2013 FA28', '2013 GA138', '2013 GF138', '2013 GP137', '2013 GR137', '2013 GU137', '2013 JJ64', '2013 UM15', '2013 UO15', '2014 DD143', '2014 DE143', '2014 GZ53', '2014 TD86', '2014 TW85', '2014 WS509', '2015 AM281']"
62,88611,"['2011 UF412', '2012 XR157', '2013 JJ64', '2013 XB26']"
63,90482,[]
64,90568,['2012 XR157']
65,91133,"['134568', '134860', '148780', '208996', '278361', '470308', '2000 YX1', '2002 GR32', '2002 XV93', '2004 KB19', '2004 MS8', '2004 VF131', '2008 LC18', '2010 JK124', '2011 UQ410', '2013 EC138', '2013 HS156', '2013 JN64', '2013 JO65', '2013 JV63', '2013 JV65', '2014 HU199', '2014 JR80', '2014 MG70', '2014 NB66', '2014 QF433', '2014 WF509', '2015 BU518']"
66,91205,"['129772', '134860', '145452', '181708', '385191', '385447', '444018', '468422', '469610', '471288', '472232', '486958', '488644', '1994 EV3', '1996 TK66', '1997 CT29', '1997 CV29', '1998 FS144', '1998 KS65', '1998 WX24', '1998 WY24', '1999 CH154', '1999 CN119', '1999 HH12', '1999 HJ12', '1999 HS11', '1999 HV11', '1999 RT214', '1999 RW214', '2000 CF105', '2000 CL105', '2000 CP104', '2000 FH8', '2000 FS53', '2000 GX146', '2000 GY146', '2000 OH67', '2000 ON67', '2000 OU69', '2000 PC30', '2000 PM30', '2000 PU29', '2000 QL251', '2000 WV12', '2000 YV1', '2001 DB106', '2001 DC106', '2001 FK185', '2001 HZ58', '2001 KF76', '2001 OG109', '2001 OK108', '2001 OQ108', '2001 OZ108', '2001 QD298', '2001 QO297', '2001 QW322', '2001 QX297', '2001 RW143', '2001 XR254', '2001 XX254', '2002 CD251', '2002 CS154', '2002 CZ154', '2002 FW36', '2002 PD155', '2002 PV170', '2002 PX170', '2002 PY170', '2002 VB131', '2002 VF131', '2002 VT130', '2002 WL21', '2003 FA130', '2003 HG57', '2003 HZ56', '2003 QD91', '2003 QE112', '2003 QE91', '2003 QF91', '2003 QG91', '2003 QL91', '2003 QX90', '2003 QY111', '2003 QY90', '2003 QZ111', '2003 SN317', '2003 TK58', '2003 UN284', '2003 UT291', '2003 YN179', '2003 YS179', '2003 YT179', '2003 YX179', '2004 DM71', '2004 EP95', '2004 HG79', '2004 KG19', '2004 MT8', '2004 PT117', '2004 PU117', '2004 UD10', '2005 EC318', '2005 EM303', '2005 GD187', '2005 GX186', '2005 JP179', '2005 LB54', '2006 BR284', '2006 HA123', '2006 SE415', '2006 UO321', '2006 WF206', '2007 CS79', '2009 DL143', '2009 UF156', '2010 TD192', '2010 TF192', '2011 BS163', '2011 HF103', '2011 HZ102', '2011 JY31', '2011 UF412', '2011 UV411', '2012 CS57', '2012 DA99', '2012 DZ98', '2012 UE178', '2012 UO177', '2012 XR157', '2013 FA28', '2013 GA138', '2013 GC137', '2013 GF138', '2013 GP137', '2013 GW137', '2013 GX137', '2013 HT156', '2013 JM64', '2013 JS65', '2013 JV65', '2013 LY35', '2013 UO15', '2013 XB26', '2014 BX64', '2014 DD143', '2014 DE143', '2014 DF143', '2014 GZ53', '2014 HU199', '2014 LS28', '2014 MG70', '2014 TD86', '2014 TW85', '2014 WD509', '2014 WN509', '2015 BV518', '2015 FM345']"
67,118228,"['2011 UF412', '2013 XB26']"
68,118378,[]
69,118698,[]
70,119066,"['1999 CL119', '2000 PD30']"
